Date,Price,Open,High,Low,Vol.,Change %,Return,EWMA_Volatility,MR_EWMA_Volatility
2014-10-02,375.1,382.8,385.6,371.2,14.30K,-2.01%,-0.02011494252873558,0.0364047387467755,0.036464943614393515
2014-10-03,363.5,375.1,378.2,362.8,16.81K,-3.12%,-0.03092508664356175,0.035637948282747405,0.0344085460924235
2014-10-04,335.3,363.5,369.9,327.1,23.04K,-7.74%,-0.07757909215955983,0.035372888140075026,0.05545943136596558
2014-10-05,322.9,335.3,344.3,294.9,29.85K,-3.72%,-0.036981807336713524,0.03920813276434027,0.04853563405792474
2014-10-06,331.5,322.9,347.9,303.0,41.17K,2.69%,0.0266336327036234,0.03907813018566207,0.041008727248423714
2014-10-07,331.6,331.5,345.5,321.7,30.17K,0.03%,0.0003016591251885359,0.038445224238370504,0.03185120678625575
2014-10-08,350.9,331.6,351.6,325.4,21.77K,5.80%,0.05820265379975864,0.03727410107068907,0.044164659838505455
2014-10-09,360.9,350.9,384.6,347.6,35.59K,2.86%,0.0284981476204047,0.038849067280313704,0.03856406057161626
2014-10-10,361.7,360.9,378.1,353.3,28.41K,0.22%,0.0022166805209200557,0.0383069666236441,0.03006200770882831
2014-10-11,361.2,361.7,370.1,350.5,13.93K,-0.14%,-0.0013823610727121682,0.03714395093070463,0.023762380989998878
2014-10-12,373.2,361.2,374.6,352.3,11.23K,3.31%,0.03322259136212624,0.036013988402093966,0.028256396993011676
2014-10-13,387.3,373.2,391.2,366.0,23.58K,3.79%,0.037781350482315235,0.03585263384463517,0.03256031394569403
2014-10-14,397.1,387.3,407.7,385.7,28.87K,2.53%,0.025303382390911455,0.035971273247380094,0.030074242762334266
2014-10-15,393.2,397.1,397.9,388.2,22.49K,-0.99%,-0.009821203727021,0.035421917208427085,0.02453540620288526
2014-10-16,379.8,393.2,398.8,371.6,20.79K,-3.41%,-0.03407934893184128,0.03442697849298254,0.02902682240769321
2014-10-17,380.5,379.8,384.8,372.4,16.57K,0.19%,0.0018430753027909308,0.034406219767419914,0.02301752888302309
2014-10-18,390.9,380.5,395.7,373.6,9.45K,2.73%,0.02733245729303535,0.03336112253443014,0.025278489377017096
2014-10-19,387.3,390.9,394.5,383.9,5.33K,-0.92%,-0.009209516500383597,0.033030446867282355,0.02106434583018316
2014-10-20,380.4,387.3,387.8,378.4,10.56K,-1.78%,-0.017815646785437678,0.03210356221180869,0.02052808628619502
2014-10-21,382.4,380.4,388.2,377.4,9.66K,0.52%,0.00525762355415349,0.031429989190409076,0.017186284792689587
2014-10-22,378.9,382.4,383.7,377.0,10.53K,-0.89%,-0.00915271966527198,0.03049970694293486,0.0156297971194016
2014-10-23,355.8,378.9,381.1,353.5,19.12K,-6.11%,-0.060965954077592976,0.029655430073173405,0.04041063628300165
2014-10-24,355.1,355.8,360.9,351.4,20.03K,-0.19%,-0.0019673974142776496,0.03239889989260215,0.031428862935100124
2014-10-25,346.7,355.1,356.6,341.5,14.04K,-2.36%,-0.02365530836384122,0.03141559533975039,0.028827610958919513
2014-10-26,348.7,346.7,356.8,344.2,11.58K,0.56%,0.0057686760888375765,0.031004800749967653,0.02312567981003025
2014-10-27,350.1,348.7,356.4,344.9,10.60K,0.41%,0.0040149125322628265,0.03009346219366523,0.01888227587145789
2014-10-28,351.1,350.1,355.7,348.3,9.43K,0.28%,0.00285632676378178,0.02919326378039921,0.015817662935699705
2014-10-29,335.1,351.1,352.8,334.7,12.26K,-4.54%,-0.04557106237539166,0.028312565537191078,0.03156192642453766
2014-10-30,344.9,335.1,350.4,333.4,16.12K,2.91%,0.02924500149209175,0.029632897071011903,0.03084350377898278
2014-10-31,337.9,344.9,348.0,336.1,14.00K,-2.03%,-0.02029573789504202,0.02960976663582916,0.02742767630192314
2014-11-01,325.4,337.9,339.0,320.7,13.77K,-3.68%,-0.03699319325244155,0.02913501333476305,0.03178744979320312
2014-11-02,322.5,325.4,329.8,319.8,11.90K,-0.88%,-0.008912108174554345,0.029665263233562594,0.025626453514030558
2014-11-03,324.2,322.5,332.9,321.7,13.43K,0.52%,0.005271317829457223,0.0288442665443319,0.020777431397443633
2014-11-04,328.0,324.2,328.8,320.1,15.12K,1.15%,0.011721159777914991,0.02799534634954863,0.018551965204793276
2014-11-05,338.0,328.0,342.0,326.5,15.84K,3.06%,0.030487804878048808,0.027293922169407594,0.024550372615655926
2014-11-06,347.7,338.0,351.1,335.7,15.65K,2.86%,0.028698224852071075,0.02749601918320572,0.02666652028308463
2014-11-07,341.9,347.7,351.6,340.2,15.02K,-1.67%,-0.0166810468794939,0.027569629907697814,0.023685022519698236
2014-11-08,343.5,341.9,346.3,339.8,8.19K,0.49%,0.004679730915472469,0.027040245249485676,0.019338057004662207
2014-11-09,362.0,343.5,362.2,341.8,12.63K,5.39%,0.05385735080058218,0.02624153890780162,0.03727556230840118
2014-11-10,367.1,362.0,374.7,356.6,22.81K,1.41%,0.014088397790055218,0.028658997130222557,0.03037596450510481
2014-11-11,365.4,367.1,371.0,361.9,15.79K,-0.47%,-0.004630890765459084,0.027999407255457184,0.024150893273625455
2014-11-12,432.0,365.4,442.7,365.8,38.53K,18.23%,0.18226600985221686,0.02717012158998241,0.11553079222450817
2014-11-13,428.7,432.0,480.5,390.9,58.20K,-0.77%,-0.007638888888888862,0.051837982962577446,0.08827901772770375
2014-11-14,396.5,428.7,430.2,382.0,35.73K,-7.51%,-0.07511080009330529,0.05029360840482783,0.08219630837977808
2014-11-15,374.9,396.5,407.3,368.0,13.33K,-5.46%,-0.05447667087011354,0.05211696615340216,0.07149708595938972
2014-11-16,385.6,374.9,390.4,370.5,14.35K,2.87%,0.028540944251800537,0.05226155309133297,0.05761038585464921
2014-11-17,384.7,385.6,412.3,378.3,27.60K,-0.24%,-0.002334024896265663,0.05114947571143017,0.044325701622573634
2014-11-18,379.2,384.7,394.9,372.0,27.09K,-1.44%,-0.01429685469196773,0.04959455205921228,0.03547088286538525
2014-11-19,381.4,379.2,389.3,374.3,19.87K,0.60%,0.005801687763713037,0.04821106119514148,0.027970045588843515
2014-11-20,357.3,381.4,383.0,355.1,21.98K,-6.33%,-0.06318825380178283,0.04676395632452875,0.045302564359372154
2014-11-21,351.8,357.3,358.7,343.8,23.47K,-1.55%,-0.015393226980128794,0.04790846354837732,0.03635377226629456
2014-11-22,352.0,351.8,364.2,350.5,12.94K,0.07%,0.0005685048322909836,0.04660176727339782,0.028390736130936876
2014-11-23,365.9,352.0,370.6,352.6,12.41K,3.93%,0.0394886363636362,0.04518230430255142,0.03340781295528082
2014-11-24,378.9,365.9,388.7,361.9,24.57K,3.55%,0.03552883301448473,0.044861066960947604,0.03434638168296036
2014-11-25,376.4,378.9,395.7,370.6,45.32K,-0.64%,-0.006598046978094518,0.0443565360196715,0.027216006999298475
2014-11-26,365.4,376.4,378.3,364.0,23.98K,-2.94%,-0.02922422954303927,0.04303561552760758,0.028335700183795838
2014-11-27,368.8,365.4,374.4,364.8,13.85K,0.95%,0.009304871373837065,0.04233419052199664,0.023223289981215416
2014-11-28,377.6,368.8,383.3,358.4,43.02K,2.38%,0.02386117136659438,0.04110775478909748,0.02398201839320674
2014-11-29,376.3,377.6,389.3,372.2,83.45K,-0.35%,-0.0034427966101695517,0.04028173262797532,0.019448313976588933
2014-11-30,374.9,376.3,381.1,372.6,11.29K,-0.36%,-0.00372043582248216,0.03906369254705614,0.016278274353181268
2014-12-01,378.6,374.9,383.6,373.0,19.67K,0.98%,0.009869298479594724,0.03788461758351041,0.015232014741132664
2014-12-02,380.6,378.6,384.9,375.4,25.29K,0.54%,0.00528262017960901,0.03680996845462729,0.013630506547950035
2014-12-03,377.0,380.6,384.7,373.6,23.51K,-0.97%,-0.009458749343142503,0.035712038803889894,0.01352975333512711
2014-12-04,369.8,377.0,380.4,366.2,25.33K,-1.89%,-0.019098143236074283,0.034701538999688315,0.016998001250096612
2014-12-05,377.6,369.8,379.7,366.4,29.99K,2.11%,0.02109248242293127,0.03396806360265496,0.019533055861625147
2014-12-06,376.3,377.6,380.3,372.0,11.07K,-0.36%,-0.0034427966101695517,0.03333606385140381,0.016313150828369892
2014-12-07,376.5,376.3,377.9,372.5,8.81K,0.06%,0.0005314908317830547,0.032331513030300935,0.013955566332881088
2014-12-08,365.0,376.5,377.4,364.6,22.92K,-3.06%,-0.030544488711819362,0.031346835241999535,0.022749482998332387
2014-12-09,352.2,365.0,365.4,343.8,43.83K,-3.50%,-0.03506849315068494,0.03129927446998904,0.028641785501955907
2014-12-10,347.9,352.2,354.1,345.1,27.13K,-1.21%,-0.01220897217490069,0.03153813342793805,0.02395437430206263
2014-12-11,347.7,347.9,367.1,337.8,51.08K,-0.07%,-0.0005748778384593312,0.03072325127009458,0.019312464400177316
2014-12-12,353.4,347.7,356.4,346.0,26.85K,1.65%,0.016393442622950838,0.02978763010984249,0.01901167984706335
2014-12-13,348.2,353.4,353.1,343.8,19.54K,-1.46%,-0.014714204867006142,0.029158008004132693,0.018285934036263243
2014-12-14,349.4,348.2,351.6,344.6,12.34K,0.32%,0.003446295232624852,0.028498570743372656,0.015453596373229617
2014-12-15,345.4,349.4,351.2,343.6,22.16K,-1.14%,-0.011448196908986796,0.027643281994002445,0.015165717365862733
2014-12-16,330.2,345.4,346.5,328.9,38.59K,-4.39%,-0.0440069484655472,0.026947460915343387,0.030491960868624622
2014-12-17,320.0,330.2,335.7,314.3,61.34K,-3.09%,-0.030890369473046575,0.028262915659780778,0.030846343295138065
2014-12-18,310.3,320.0,325.6,303.4,60.52K,-3.02%,-0.030312499999999964,0.028427412000870716,0.030826589666669516
2014-12-19,317.8,310.3,320.2,306.4,41.71K,2.40%,0.02417015791169841,0.02854402822409993,0.02861693982834325
2014-12-20,330.4,317.8,332.6,316.0,29.92K,3.96%,0.03964757709251088,0.028300665123479108,0.03359256397607494
2014-12-21,322.6,330.4,332.0,320.1,20.67K,-2.34%,-0.023607748184019228,0.029106490853481874,0.030193208087858556
2014-12-22,330.8,322.6,335.3,319.9,35.36K,2.54%,0.025418474891506504,0.028806181414321445,0.028648079343432515
2014-12-23,335.3,330.8,339.3,328.0,24.07K,1.33%,0.013603385731559836,0.02861423167521573,0.024250198964271955
2014-12-24,322.4,335.3,336.3,320.6,21.52K,-3.83%,-0.03847300924545194,0.027941920572910523,0.030966798240001762
2014-12-25,319.0,322.4,323.4,316.3,15.39K,-1.06%,-0.010545905707195935,0.028683030108562588,0.02528439924908596
2014-12-26,330.0,319.0,332.9,316.4,23.01K,3.45%,0.034482758620689724,0.027928949333394005,0.029579792387151017
2014-12-27,315.3,330.0,330.7,312.0,21.63K,-4.44%,-0.044545454545454555,0.028364912775131482,0.036357876301049905
2014-12-28,316.5,315.3,322.8,310.5,20.41K,0.38%,0.0038058991436726863,0.029586348733428355,0.028490968154406122
2014-12-29,314.1,316.5,321.6,308.3,20.36K,-0.76%,-0.00758293838862556,0.028700174243216428,0.023088497543166785
2014-12-30,311.3,314.1,316.2,309.3,22.78K,-0.91%,-0.008914358484559126,0.027887776153215697,0.019500636594838257
2014-12-31,318.2,311.3,319.1,308.9,20.50K,2.24%,0.022165114037905553,0.027126229418719956,0.021273305581132627
2015-01-01,314.9,318.2,321.4,313.5,12.82K,-1.05%,-0.010370835952231316,0.02685442086411859,0.01856355510140113
2015-01-02,315.2,314.9,316.4,313.1,14.73K,0.10%,0.0009526833915529664,0.0261599613732754,0.015506642536460646
2015-01-03,287.1,315.2,315.8,284.9,47.37K,-8.91%,-0.08914974619289329,0.02536409707927443,0.05729279877638003
2015-01-04,264.7,287.1,289.9,255.9,88.77K,-7.80%,-0.0780215952629747,0.03288765437338887,0.06571107037951414
2015-01-05,274.8,264.7,278.3,262.9,54.99K,3.82%,0.03815640347563298,0.03717450875553356,0.055763401034664754
2015-01-06,282.3,274.8,285.1,271.5,21.94K,2.70%,0.02729257641921401,0.03723415263859304,0.046175377074604715
2015-01-07,291.3,282.3,296.1,280.7,30.67K,3.21%,0.03188097768331555,0.03671365248796584,0.04089159627029667
2015-01-08,282.7,291.3,292.7,279.0,20.18K,-2.97%,-0.029522828698935855,0.036441769256573386,0.036731043468854405
2015-01-09,288.0,282.7,290.6,277.3,20.93K,1.87%,0.018747789175804774,0.036064085162659805,0.030969169853109255
2015-01-10,273.4,288.0,289.3,272.0,14.73K,-5.08%,-0.050694444444444486,0.03526570459017131,0.03999046779737044
2015-01-11,264.8,273.4,278.0,263.8,15.11K,-3.14%,-0.0314557425018287,0.03637643917261018,0.03678278295807341
