Date,EWMA_Forecast,MR_EWMA_Forecast
2025-04-25,0.030487006184800124,0.02813427166495638
2025-04-26,0.030487006184800124,0.028608477513697474
2025-04-27,0.030487006184800124,0.029051804453582436
2025-04-28,0.030487006184800124,0.029466787754161082
2025-04-29,0.030487006184800124,0.02985567964661638
2025-04-30,0.030487006184800124,0.030220491929208552
2025-05-01,0.030487006184800124,0.030563030469199816
2025-05-02,0.030487006184800124,0.030884923434067624
2025-05-03,0.030487006184800124,0.03118764461115737
2025-05-04,0.030487006184800124,0.031472532837576096
2025-05-05,0.030487006184800124,0.03174080831818458
2025-05-06,0.030487006184800124,0.0319935864306769
2025-05-07,0.030487006184800124,0.032231889483900544
2025-05-08,0.030487006184800124,0.03245665679575308
2025-05-09,0.030487006184800124,0.0326687533811666
2025-05-10,0.030487006184800124,0.03286897748250704
2025-05-11,0.030487006184800124,0.03305806712964813
2025-05-12,0.030487006184800124,0.033236705881764986
2025-05-13,0.030487006184800124,0.03340552787515037
2025-05-14,0.030487006184800124,0.03356512227933366
2025-05-15,0.030487006184800124,0.03371603724617314
2025-05-16,0.030487006184800124,0.0338587834224166
2025-05-17,0.030487006184800124,0.03399383708474012
2025-05-18,0.030487006184800124,0.03412164294691428
2025-05-19,0.030487006184800124,0.03424261668107323
2025-05-20,0.030487006184800124,0.03435714718873809
2025-05-21,0.030487006184800124,0.03446559865200702
2025-05-22,0.030487006184800124,0.03456831239096308
2025-05-23,0.030487006184800124,0.03466560854970378
2025-05-24,0.030487006184800124,0.03475778763033223
